,confirmed,deaths
2020-01-22T00:00:00Z,1,0
2020-01-23T00:00:00Z,1,0
2020-01-24T00:00:00Z,2,0
2020-01-25T00:00:00Z,2,0
2020-01-26T00:00:00Z,5,0
2020-01-27T00:00:00Z,5,0
2020-01-28T00:00:00Z,5,0
2020-01-29T00:00:00Z,6,0
2020-01-30T00:00:00Z,6,0
2020-01-31T00:00:00Z,8,0
2020-02-01T00:00:00Z,8,0
2020-02-02T00:00:00Z,8,0
2020-02-03T00:00:00Z,11,0
2020-02-04T00:00:00Z,11,0
2020-02-05T00:00:00Z,11,0
2020-02-06T00:00:00Z,12,0
2020-02-07T00:00:00Z,12,0
2020-02-08T00:00:00Z,12,0
2020-02-09T00:00:00Z,12,0
2020-02-10T00:00:00Z,12,0
2020-02-11T00:00:00Z,13,0
2020-02-12T00:00:00Z,13,0
2020-02-13T00:00:00Z,14,0
2020-02-14T00:00:00Z,14,0
2020-02-15T00:00:00Z,14,0
2020-02-16T00:00:00Z,14,0
2020-02-17T00:00:00Z,14,0
2020-02-18T00:00:00Z,14,0
2020-02-19T00:00:00Z,14,0
2020-02-20T00:00:00Z,14,0
2020-02-21T00:00:00Z,16,0
2020-02-22T00:00:00Z,16,0
2020-02-23T00:00:00Z,16,0
2020-02-24T00:00:00Z,16,0
2020-02-25T00:00:00Z,16,0
2020-02-26T00:00:00Z,16,0
2020-02-27T00:00:00Z,17,0
2020-02-28T00:00:00Z,17,0
2020-02-29T00:00:00Z,25,1
2020-03-01T00:00:00Z,32,1
2020-03-02T00:00:00Z,55,6
2020-03-03T00:00:00Z,74,7
2020-03-04T00:00:00Z,107,11
2020-03-05T00:00:00Z,184,12
2020-03-06T00:00:00Z,237,14
2020-03-07T00:00:00Z,403,17
2020-03-08T00:00:00Z,519,21
2020-03-09T00:00:00Z,594,22
2020-03-10T00:00:00Z,782,28
2020-03-11T00:00:00Z,1147,33
2020-03-12T00:00:00Z,1586,43
2020-03-13T00:00:00Z,2219,51
2020-03-14T00:00:00Z,2978,58
2020-03-15T00:00:00Z,3212,70
2020-03-16T00:00:00Z,4679,97
2020-03-17T00:00:00Z,6512,134
2020-03-18T00:00:00Z,9169,194
2020-03-19T00:00:00Z,13663,266
2020-03-20T00:00:00Z,20030,372
2020-03-21T00:00:00Z,26025,475
2020-03-22T00:00:00Z,34944,603
2020-03-23T00:00:00Z,46096,790
2020-03-24T00:00:00Z,56714,1033
2020-03-25T00:00:00Z,68841,1366
2020-03-26T00:00:00Z,86662,1783
2020-03-27T00:00:00Z,105253,2305
2020-03-28T00:00:00Z,127417,3018
2020-03-29T00:00:00Z,143544,3573
2020-03-30T00:00:00Z,165698,4280
2020-03-31T00:00:00Z,192079,5359
2020-04-01T00:00:00Z,223237,6635
2020-04-02T00:00:00Z,255516,8142
2020-04-03T00:00:00Z,287918,9562
2020-04-04T00:00:00Z,319755,11165
2020-04-05T00:00:00Z,348998,12781
2020-04-06T00:00:00Z,380786,14523
2020-04-07T00:00:00Z,410820,17099
2020-04-08T00:00:00Z,441879,19249
2020-04-09T00:00:00Z,477498,21463
2020-04-10T00:00:00Z,511775,23649
2020-04-11T00:00:00Z,540699,25785
2020-04-12T00:00:00Z,566999,27674
2020-04-13T00:00:00Z,594155,29657
2020-04-14T00:00:00Z,622470,32132
2020-04-15T00:00:00Z,648363,34730
2020-04-16T00:00:00Z,677983,36913
2020-04-17T00:00:00Z,711000,39008
2020-04-18T00:00:00Z,738408,40954
2020-04-19T00:00:00Z,763845,42934
2020-04-20T00:00:00Z,793953,45179
2020-04-21T00:00:00Z,820012,47662
2020-04-22T00:00:00Z,849896,50128
2020-04-23T00:00:00Z,881853,52542
2020-04-24T00:00:00Z,913801,54711
2020-04-25T00:00:00Z,944706,56445
2020-04-26T00:00:00Z,970666,57850
2020-04-27T00:00:00Z,995341,59330
2020-04-28T00:00:00Z,1019922,61571
2020-04-29T00:00:00Z,1046782,63962
2020-04-30T00:00:00Z,1076478,66154
2020-05-01T00:00:00Z,1111364,68063
2020-05-02T00:00:00Z,1138137,69804
2020-05-03T00:00:00Z,1161874,71007
2020-05-04T00:00:00Z,1185670,72365
2020-05-05T00:00:00Z,1209674,74586
2020-05-06T00:00:00Z,1234164,76905
2020-05-07T00:00:00Z,1261898,78821
2020-05-08T00:00:00Z,1289095,80593
2020-05-09T00:00:00Z,1313562,82058
2020-05-10T00:00:00Z,1332309,83059
2020-05-11T00:00:00Z,1351361,84093
2020-05-12T00:00:00Z,1374722,85682
2020-05-13T00:00:00Z,1394746,87416
2020-05-14T00:00:00Z,1420650,89197
2020-05-15T00:00:00Z,1445463,90862
2020-05-16T00:00:00Z,1469549,92060
2020-05-17T00:00:00Z,1488299,92891
2020-05-18T00:00:00Z,1510578,94110
2020-05-19T00:00:00Z,1531062,95555
2020-05-20T00:00:00Z,1553890,97056
2020-05-21T00:00:00Z,1579106,98246
2020-05-22T00:00:00Z,1602973,99450
2020-05-23T00:00:00Z,1623156,100524
2020-05-24T00:00:00Z,1643343,101165
2020-05-25T00:00:00Z,1662433,101762
2020-05-26T00:00:00Z,1681107,102418
2020-05-27T00:00:00Z,1699846,103896
2020-05-28T00:00:00Z,1721115,104985
2020-05-29T00:00:00Z,1746202,106102
2020-05-30T00:00:00Z,1769293,107053
2020-05-31T00:00:00Z,1788188,107674
2020-06-01T00:00:00Z,1806054,108448
2020-06-02T00:00:00Z,1826132,109428
2020-06-03T00:00:00Z,1845295,110437
2020-06-04T00:00:00Z,1873216,111443
2020-06-05T00:00:00Z,1899623,112321
2020-06-06T00:00:00Z,1919919,112958
2020-06-07T00:00:00Z,1937771,113415
2020-06-08T00:00:00Z,1954667,113926
2020-06-09T00:00:00Z,1974969,114840
2020-06-10T00:00:00Z,1996689,115715
2020-06-11T00:00:00Z,2018970,116532
2020-06-12T00:00:00Z,2044522,117357
2020-06-13T00:00:00Z,2068699,118077
2020-06-14T00:00:00Z,2087600,118425
2020-06-15T00:00:00Z,2108597,118826
2020-06-16T00:00:00Z,2133130,119612
2020-06-17T00:00:00Z,2160193,120359
